Nr4a1	NM_001411253
Lrrc30	NM_001033340
Usp2	NM_001407818
Dnaja3	NM_001135112
Chmp4b	NM_029362
Opa1	NM_001199177
Ndufa12	NM_001364691
Stip1	NM_016737
Fech	NM_001348055
Cdv3	NM_001134426
Pdpr	NM_198308
Cmbl	NM_181588
Jak1	NM_013567
Rmnd5a	NM_001355745
Mlf2	NM_001170341
Cops2	NM_001285507
Nars	NM_001142950
Tm9sf2	NM_080556
Rpl7	NM_011291
Kcna7	NM_010596
Eci1	NM_010023
Col4a2	NM_009932
Fbxo32	NM_026346
Arl6ip5	NM_022992
Mcee	NM_001355124
Gstm5	NM_010360
Mmadhc	NM_001348198
Hsdl2	NM_001301367
E2f6	NM_033270
Mrpl2	NM_001316742
Rpl32	NM_172086
Gabarap	NM_019749
Rnf10	NM_001302448
Trim72	NM_001079932
Paics	NM_001356971
Map7d1	NM_001145970
Smoc2	NM_022315
Ucp3	NM_009464
Srrm2	NM_001368687
Ptp4a3	NM_001166388
Tab2	NM_001359534
Amfr	NM_001414270
Adipor2	NM_001355692
Asb8	NM_001170710
Cbfb	NM_001161456
Sptb	NM_013675
Rac1	NM_001347530
Snapin	NM_133854
Fndc5	NM_027402
Myl12a	NM_001357820
Tmem64	NM_181401
Cat	NM_009804
Gadd45g	NM_011817
Sypl	NM_013635
Rps11	NM_013725
Scn4a	NM_001403641
Sgcb	NM_011890
Sec23a	NM_001361956
Tef	NM_017376
Gnpat	NM_010322
Epdr1	NM_134065
Spag7	NM_001167669
Rnf7	NM_001311135
Htatsf1	NM_028242
Fem1a	NM_010192
Ttll7	NM_001302957
Tns1	NM_001289895
Tecr	NM_027179
Bag3	NM_013863
Golph3	NM_025673
Decr1	NM_026172
Fam120a	NM_001033268
Psmc1	NM_008947
Dusp3	NM_028207
Phlda3	NM_013750
Abcb7	NM_009592
Smco1	NM_183283
Tmem233	NM_001101546
Vegfb	NM_001185164
Myf6	NM_008657
Pno1	NM_025443
Herpud1	NM_001357205
Mrps28	NM_025434
Fhl3	NM_010213
Narf	NM_026272
Col6a1	NM_009933
Eef1g	NM_026007
Mlec	NM_175403
Smtnl1	NM_024230
Ndfip1	NM_001355749
Rer1	NM_001362981
Ulk2	NM_013881
Ctbp1	NM_001198859
Msrb1	NM_001346668
Vcp	NM_009503
Afg3l2	NM_027130
Map2k3	NM_008928
Zbtb18	NM_001012330
Higd2a	NM_025933
D8Ertd738e	NM_001007571
Rbbp7	NM_009031
Mapk12	NM_001403019
Pcmtd1	NM_183028
Ptpn3	NM_001384115
Ank	NM_020332
Trak2	NM_172406
Psma4	NM_001409691
Ppm1b	NM_001159496
